layer,harmful_refusal_post_ablate,harmless_refusal_post_ablate
12,0.7916666666666666,0.0
14,0.75,0.0
16,0.041666666666666664,0.0
18,0.20833333333333334,0.0
20,0.041666666666666664,0.0
22,0.0,0.0
24,0.0,0.041666666666666664
26,0.0,0.041666666666666664
28,0.0,0.041666666666666664
30,0.0,0.041666666666666664
32,0.0,0.0
