layer,harmful_refusal_post_ablate,harmless_refusal_post_ablate,norm,status,error_msg
14,0.75,0.0,14.23733139038086,ok,
16,0.08333333333333333,0.0,22.017309188842773,ok,
18,0.041666666666666664,0.0,41.81538391113281,ok,
20,0.08333333333333333,0.0,57.99882888793945,ok,
22,0.9166666666666666,0.0,77.03915405273438,ok,
24,0.125,0.0,120.38685607910156,ok,
26,0.0,0.0,180.67974853515625,ok,
28,0.0,0.0,251.97015380859375,ok,
30,0.0,0.0,363.49530029296875,ok,
32,0.0,0.0,462.54302978515625,ok,
34,0.0,0.0,538.7832641601562,ok,
36,0.0,0.0,635.4915161132812,ok,
