layer,harmful_refusal_post_ablate,harmless_refusal_post_ablate,norm,status,error_msg
14,0.7916666666666666,0.0,16.143003463745117,ok,
16,0.2916666666666667,0.0,23.65848731994629,ok,
18,0.0,0.0,43.01402282714844,ok,
20,0.08333333333333333,0.0,58.3480339050293,ok,
22,0.7083333333333334,0.041666666666666664,75.2326889038086,ok,
24,0.2916666666666667,0.0,117.84009552001953,ok,
26,0.125,0.0,177.72421264648438,ok,
28,0.16666666666666666,0.041666666666666664,246.5400390625,ok,
30,0.08333333333333333,0.0,354.1401672363281,ok,
32,0.16666666666666666,0.041666666666666664,452.74639892578125,ok,
34,0.08333333333333333,0.041666666666666664,527.9046020507812,ok,
36,0.08333333333333333,0.041666666666666664,625.6134033203125,ok,
