rank,layer,head,dla_score
127,10,32,0.01800995133817196
128,8,38,0.017660565674304962
129,12,24,0.017490746453404427
130,3,31,0.01740759052336216
131,12,8,0.016943849623203278
132,12,28,0.01683707721531391
133,1,9,0.01653531938791275
134,13,21,0.016364138573408127
135,0,38,0.01625826209783554
136,13,5,0.016229314729571342
137,4,2,0.016149403527379036
138,7,31,0.015341922640800476
139,17,12,0.015247847884893417
140,9,26,0.015108514577150345
141,3,22,0.015017793513834476
142,5,34,0.014981385320425034
143,13,12,0.014417552389204502
144,15,13,0.014138485305011272
145,2,5,0.014090520329773426
146,4,27,0.014001883566379547
147,4,36,0.013962660916149616
148,8,17,0.013761256821453571
149,8,27,0.013720952905714512
150,2,8,0.013594422489404678
151,4,14,0.013556276448071003
152,0,33,0.013463235460221767
153,3,15,0.013403383083641529
154,3,10,0.012972122989594936
155,4,0,0.012946203351020813
156,9,4,0.012768956832587719
157,5,23,0.012497399002313614
158,5,37,0.012414966709911823
159,0,12,0.012410669587552547
160,8,16,0.01233847439289093
161,6,3,0.012150629423558712
162,4,13,0.012042085640132427
163,7,5,0.011931538581848145
164,0,5,0.01181804109364748
165,0,10,0.011675987392663956
166,8,34,0.011629545129835606
167,7,29,0.01160415355116129
168,2,23,0.011361297219991684
169,5,38,0.011343528516590595
170,13,0,0.011270634829998016
171,16,33,0.011011173017323017
172,3,38,0.010994098149240017
173,1,18,0.01098987553268671
174,4,37,0.010902819223701954
175,1,35,0.010893533937633038
176,17,24,0.010818886570632458
177,0,35,0.010812963359057903
178,2,38,0.010720793157815933
179,15,34,0.0107124550268054
180,4,12,0.010562288574874401
181,5,0,0.010529641062021255
182,16,29,0.010516010224819183
183,0,36,0.010501126758754253
184,1,6,0.01036075223237276
185,1,0,0.010348978452384472
186,0,39,0.010306927375495434
187,1,38,0.010167564265429974
188,8,23,0.010165673680603504
189,15,29,0.01006520725786686
190,6,36,0.01004835870116949
191,13,23,0.010011457838118076
192,1,37,0.009996915236115456
193,11,17,0.009968406520783901
194,11,18,0.009918500669300556
195,8,32,0.009843441657721996
196,3,3,0.009756197221577168
197,6,6,0.009612307883799076
198,13,27,0.009582708589732647
199,12,19,0.009413540363311768
200,13,35,0.009370495565235615
201,3,16,0.00931036937981844
202,0,8,0.009297184646129608
203,13,7,0.009210818447172642
204,1,39,0.009114357642829418
205,1,36,0.009039313532412052
206,14,36,0.008442808873951435
207,8,25,0.008376345969736576
208,7,13,0.008366581983864307
209,1,8,0.008336699567735195
210,3,1,0.008328012190759182
211,4,20,0.00825303141027689
212,6,19,0.008249065838754177
213,6,32,0.00818223599344492
214,7,35,0.008090880699455738
215,5,2,0.008069253526628017
216,3,29,0.008028891868889332
217,0,14,0.008015918545424938
218,2,27,0.007930018939077854
219,15,38,0.007901755161583424
220,2,12,0.007873344235122204
221,1,5,0.007752453442662954
222,17,11,0.007717430125921965
223,18,26,0.00768913934007287
224,1,26,0.007651540916413069
225,3,2,0.007558120414614677
226,4,33,0.007541427854448557
227,0,11,0.007537921890616417
228,0,0,0.007485401351004839
229,9,5,0.007437685504555702
230,2,4,0.007435510400682688
231,5,9,0.007326625287532806
