N,prompt_idx,frac
0,0,0.02575163137922474
0,1,0.023998196169949033
0,2,0.01854347775358227
0,3,0.0272188750244528
0,4,0.014645966701209545
0,5,0.020479407161474228
0,6,0.0313423201551819
0,7,0.0396247011870502
0,8,0.041309524327516556
0,9,0.035099051892757416
0,10,0.04332686588168144
0,11,0.018743157015066503
0,12,0.024593273177742958
0,13,0.028422577306628227
0,14,0.015394037575664377
0,15,0.012468676082789898
0,16,0.04662584324191132
0,17,0.030966149626144746
0,18,0.023292414844036102
0,19,0.06708528046783442
0,20,0.0305717084556818
0,21,0.022532598007631063
0,22,0.019822103221541834
0,23,0.035279277712106705
2048,0,0.0004666773311328143
2048,1,0.0003981388290412724
2048,2,0.0005776808141328914
2048,3,0.0004045372579425862
2048,4,0.0006226451951079071
2048,5,0.0008354381425306201
2048,6,0.0002956119362839238
2048,7,0.001130641088820994
2048,8,0.0010830226819962263
2048,9,0.0006309600090368071
2048,10,0.0003834890501232833
2048,11,0.0002741552634089009
2048,12,0.0003081356376987346
2048,13,0.0010350124211981893
2048,14,0.000436015339801088
2048,15,0.0006841195863671601
2048,16,0.0007323363388524844
2048,17,0.0007403383656823693
2048,18,0.000392125360757134
2048,19,0.001418217201717198
2048,20,0.0003282211837358773
2048,21,0.0007583480328321457
2048,22,0.00041984248673543334
2048,23,0.0016550011124088033
