format,seed,N,attn_to_harmful,attn_to_harmful_std,cos_refusal,cos_refusal_std,cos_refusal_readout,cos_refusal_readout_std,cos_refusal_harmful_span,cos_refusal_harmful_span_std,refusal_rate,n_evaluated,status,error_msg
distractor,s1,0,0.2691879051337795,0.049486440136569824,0.43521092653274535,0.05836897866071497,0.43521092653274535,0.05836897866071497,-0.03440467177890241,0.012822383377802705,0.97,100,ok,
distractor,s1,32,0.043317900492535664,0.026869808540423583,0.11594111969694496,0.054425586934773985,0.11594111969694496,0.054425586934773985,-0.033719627989921716,0.01264255584715967,0.43,100,ok,
distractor,s1,64,0.021540569084318128,0.019093204259714232,0.05287411704659462,0.05223422357659647,0.05287411704659462,0.05223422357659647,-0.033442408069968226,0.012895416028620002,0.13,100,ok,
distractor,s1,96,0.020419678459826777,0.015795135616198625,0.05880144836381078,0.05509987523103074,0.05880144836381078,0.05509987523103074,-0.034268781952559946,0.013132922546427346,0.15,100,ok,
distractor,s1,128,0.013259234917507759,0.011633540602763852,0.03343419519253075,0.04837833582771838,0.03343419519253075,0.04837833582771838,-0.03434956011828035,0.013196304206120437,0.08,100,ok,
distractor,s1,192,0.00879929012006869,0.006444703515787888,0.004130350109189749,0.04738688596627653,0.004130350109189749,0.04738688596627653,-0.034453520122915506,0.01328775752650415,0.22,100,ok,
distractor,s1,256,0.009030264522931852,0.007590022023110325,0.008794166278094054,0.04962463465343687,0.008794166278094054,0.04962463465343687,-0.03402723590377718,0.01336604262105267,0.23,100,ok,
distractor,s1,384,0.0041266544489705365,0.005248552983306375,-0.0432549062371254,0.04323450912738716,-0.0432549062371254,0.04323450912738716,-0.0344700923608616,0.013745896854971218,0.03,100,ok,
distractor,s1,512,0.002722111453287349,0.004656709197349288,-0.06097879911772907,0.02667418329936775,-0.06097879911772907,0.02667418329936775,-0.03479703431017697,0.013756578404259636,0.01,100,ok,
distractor,s1,768,0.001871482762680898,0.0036543247429793027,-0.07302684305235743,0.019671313491723484,-0.07302684305235743,0.019671313491723484,-0.03500891166739166,0.01375358080571698,0.01,100,ok,
distractor,s1,1024,0.0016284191701902272,0.003429187757764479,-0.07660085801035166,0.013939708847932487,-0.07660085801035166,0.013939708847932487,-0.03532887516543269,0.01405798853754001,0.01,100,ok,
