prompt_idx,L_top,head,base_clean_proj,base_dirty_proj,patched_proj,recovery,status,error_msg
1,20,20,462.8511657714844,-89.36786651611328,-89.04610443115234,0.0005826711253105862,ok,
1,20,21,462.8511657714844,-89.36786651611328,-89.24711608886719,0.0002186640086378017,ok,
1,20,22,462.8511657714844,-89.36786651611328,-89.3180923461914,9.01348323973601e-05,ok,
1,20,23,462.8511657714844,-89.36786651611328,-89.09473419189453,0.0004946086756323562,ok,
1,20,24,462.8511657714844,-89.36786651611328,-89.26730346679688,0.00018210717747234878,ok,
1,20,25,462.8511657714844,-89.36786651611328,-89.62104034423828,-0.0004584663210107292,ok,
1,20,26,462.8511657714844,-89.36786651611328,-89.48844146728516,-0.0002183462432875351,ok,
1,20,27,462.8511657714844,-89.36786651611328,-88.98875427246094,0.0006865251313085868,ok,
1,20,28,462.8511657714844,-89.36786651611328,-89.27351379394531,0.00017086104724987008,ok,
1,20,29,462.8511657714844,-89.36786651611328,-89.39580535888672,-5.059377011636001e-05,ok,
1,20,30,462.8511657714844,-89.36786651611328,-89.0579833984375,0.0005611597926860171,ok,
1,20,31,462.8511657714844,-89.36786651611328,-89.31582641601562,9.423815018123747e-05,ok,
1,20,32,462.8511657714844,-89.36786651611328,-89.39970397949219,-5.7653687246196155e-05,ok,
1,20,33,462.8511657714844,-89.36786651611328,-89.42741394042969,-0.00010783298081873016,ok,
1,20,34,462.8511657714844,-89.36786651611328,-88.96090698242188,0.0007369531108074165,ok,
1,20,35,462.8511657714844,-89.36786651611328,-89.40110778808594,-6.019581004832893e-05,ok,
1,20,36,462.8511657714844,-89.36786651611328,-89.27445220947266,0.0001691616934201835,ok,
1,20,37,462.8511657714844,-89.36786651611328,-88.95366668701172,0.0007500643854771122,ok,
1,20,38,462.8511657714844,-89.36786651611328,-89.06709289550781,0.0005446636262417424,ok,
1,20,39,462.8511657714844,-89.36786651611328,-88.99594116210938,0.0006735105678324505,ok,
2,20,0,485.2322082519531,-43.7602653503418,-44.19677734375,-0.0008251761890593171,ok,
2,20,1,485.2322082519531,-43.7602653503418,-43.444908142089844,0.0005961468716264643,ok,
2,20,2,485.2322082519531,-43.7602653503418,-43.2567253112793,0.0009518850724539222,ok,
2,20,3,485.2322082519531,-43.7602653503418,-44.40984344482422,-0.0012279533772172062,ok,
2,20,4,485.2322082519531,-43.7602653503418,-44.21028137207031,-0.0008507040160023996,ok,
2,20,5,485.2322082519531,-43.7602653503418,-44.005889892578125,-0.0004643252115926939,ok,
2,20,6,485.2322082519531,-43.7602653503418,-44.389286041259766,-0.00118909194800922,ok,
2,20,7,485.2322082519531,-43.7602653503418,-43.61265563964844,0.0002790393399894282,ok,
2,20,8,485.2322082519531,-43.7602653503418,-43.93174743652344,-0.0003241673459244027,ok,
2,20,9,485.2322082519531,-43.7602653503418,-44.128108978271484,-0.0006953664679286879,ok,
2,20,10,485.2322082519531,-43.7602653503418,-42.006988525390625,0.0033143700760274214,ok,
2,20,11,485.2322082519531,-43.7602653503418,-44.20327377319336,-0.0008374569487440825,ok,
2,20,12,485.2322082519531,-43.7602653503418,-46.53374481201172,-0.005242946922823458,ok,
2,20,13,485.2322082519531,-43.7602653503418,-43.083229064941406,0.0012798599586681405,ok,
2,20,14,485.2322082519531,-43.7602653503418,-44.36754608154297,-0.0011479950311310768,ok,
2,20,15,485.2322082519531,-43.7602653503418,-43.3790283203125,0.0007206851686058525,ok,
2,20,16,485.2322082519531,-43.7602653503418,-42.95234680175781,0.0015272779650006714,ok,
2,20,17,485.2322082519531,-43.7602653503418,-44.32173156738281,-0.0010613879120388676,ok,
2,20,18,485.2322082519531,-43.7602653503418,-44.340335845947266,-0.0010965571809658206,ok,
2,20,19,485.2322082519531,-43.7602653503418,-46.21910095214844,-0.004648148555049638,ok,
2,20,20,485.2322082519531,-43.7602653503418,-44.16227340698242,-0.0007599504278445767,ok,
2,20,21,485.2322082519531,-43.7602653503418,-43.67257308959961,0.00016577222761796033,ok,
