prompt_idx,L_patch,base_clean_proj,base_dirty_proj,patched_proj,recovery,status,error_msg
0,0,554.4260864257812,34.96799850463867,67.48866271972656,0.062604981944231,ok,
0,4,554.4260864257812,34.96799850463867,43.60688018798828,0.016630565360763145,ok,
0,8,554.4260864257812,34.96799850463867,45.42572021484375,0.020131983606332133,ok,
0,12,554.4260864257812,34.96799850463867,70.60618591308594,0.06860647324035389,ok,
0,16,554.4260864257812,34.96799850463867,161.4878692626953,0.24356126836793665,ok,
0,20,554.4260864257812,34.96799850463867,184.38787841796875,0.2876456895902891,ok,
0,24,554.4260864257812,34.96799850463867,88.9634780883789,0.10394578665591425,ok,
0,28,554.4260864257812,34.96799850463867,38.40525436401367,0.006617003256472156,ok,
0,32,554.4260864257812,34.96799850463867,37.217655181884766,0.0043307761098670345,ok,
0,36,554.4260864257812,34.96799850463867,35.923362731933594,0.00183915555366221,ok,
1,0,462.1564636230469,-89.20887756347656,-87.39321899414062,0.0032930226724601315,ok,
1,4,462.1564636230469,-89.20887756347656,-88.40866088867188,0.0014513365549648854,ok,
1,8,462.1564636230469,-89.20887756347656,-88.10082244873047,0.0020096568136865273,ok,
1,12,462.1564636230469,-89.20887756347656,-86.18932342529297,0.00547650335018446,ok,
1,16,462.1564636230469,-89.20887756347656,-85.42984008789062,0.006853962687341845,ok,
1,20,462.1564636230469,-89.20887756347656,-84.86854553222656,0.007871971099796954,ok,
1,24,462.1564636230469,-89.20887756347656,-87.2954330444336,0.003470375041937325,ok,
1,28,462.1564636230469,-89.20887756347656,-89.02430725097656,0.00033475138662653265,ok,
1,32,462.1564636230469,-89.20887756347656,-89.27279663085938,-0.00011592870027931096,ok,
1,36,462.1564636230469,-89.20887756347656,-89.20767211914062,2.18628964479961e-06,ok,
2,0,485.9159240722656,-42.249210357666016,-34.70683288574219,0.014280339576114956,ok,
2,4,485.9159240722656,-42.249210357666016,-33.326988220214844,0.016892864666429107,ok,
2,8,485.9159240722656,-42.249210357666016,-31.380125045776367,0.020578952686115978,ok,
2,12,485.9159240722656,-42.249210357666016,-30.438182830810547,0.022362376379886476,ok,
2,16,485.9159240722656,-42.249210357666016,4.480457305908203,0.08847548733789726,ok,
2,20,485.9159240722656,-42.249210357666016,48.610042572021484,0.17202811584251068,ok,
2,24,485.9159240722656,-42.249210357666016,-12.881254196166992,0.055603738768551916,ok,
2,28,485.9159240722656,-42.249210357666016,-41.35083770751953,0.0017009313784336249,ok,
2,32,485.9159240722656,-42.249210357666016,-41.51128387451172,0.0013971510708497797,ok,
2,36,485.9159240722656,-42.249210357666016,-42.23469543457031,2.7481789594781987e-05,ok,
3,0,592.757080078125,-77.61763763427734,-70.35592651367188,0.010832316507080473,ok,
3,4,592.757080078125,-77.61763763427734,-77.13394165039062,0.0007215307664604221,ok,
3,8,592.757080078125,-77.61763763427734,-76.45246124267578,0.0017380971579262856,ok,
3,12,592.757080078125,-77.61763763427734,-77.07540130615234,0.0008088555755433858,ok,
3,16,592.757080078125,-77.61763763427734,-64.9558334350586,0.018887651733684258,ok,
3,20,592.757080078125,-77.61763763427734,-56.52748107910156,0.03146025051055651,ok,
3,24,592.757080078125,-77.61763763427734,-70.88630676269531,0.010041146680698424,ok,
3,28,592.757080078125,-77.61763763427734,-76.06661987304688,0.002313657899455378,ok,
3,32,592.757080078125,-77.61763763427734,-76.36759948730469,0.0018646856958423295,ok,
